Category,Contact_Count,Unique_Orgs,Sample_Orgs
Other Healthcare,11833,2066,006yfj | 0i5hc6 | 15tfrp | 1891 Financial Life | 1it2pi
Mental Health / Counseling,1411,0,
Wellness / Integrative / Alternative,1392,0,
Non-Healthcare,1205,0,
Family Medicine / Primary Care,939,0,
Dental,490,0,
Insurance / Billing / Admin,478,0,
Business Associate,363,0,
Hospital / Health System,269,0,
Substance Abuse / Addiction Recovery,246,0,
Pediatrics,224,0,
Non-Profit / Government Health,222,0,
Medical Technology / Software,122,0,
Medical Education / University,114,0,
Specialty Clinic,35,0,
Vision / Optometry,27,0,
Physical Therapy / Rehab,11,0,
Pharmacy / Compounding,4,0,
Chiropractic,3,0,
Home Health / Hospice,2,0,
Urgent Care,2,0,
Veterinary,2,0,
